# This example contains 2 treatments with 3 biological replicates each

time	treatment1	treatment1	treatment1	treatment2	treatment2	treatment2
0	0.05	0.05	0.05	0.05	0.05	0.05
17	0.53	0.55	0.49	0.42	0.48	0.54
20	0.59	0.63	0.58	0.49	0.55	0.60
23	0.64	0.67	0.61	0.52	0.55	0.60
26	0.64	0.68	0.63	0.52	0.54	0.58
41	0.73	0.75	0.67	0.68	0.66	0.64
44	0.71	0.72	0.66	0.75	0.69	0.66
47	0.70	0.71	0.65	0.78	0.70	0.66
50	0.67	0.68	0.65	0.79	0.69	0.67
65	0.72	0.70	0.69	0.89	0.73	0.70
68	0.75	0.70	0.71	0.81	0.75	0.71
71	0.77	0.73	0.73	0.64	0.77	0.75
74	0.76	0.70	0.72	0.93	0.76	0.68
89	0.75	0.72	0.72	0.98	0.80	0.76
92	0.76	0.72	0.72	0.98	0.80	0.77
95	0.74	0.73	0.70	0.96	0.81	0.76
98	0.71	0.69	0.66	1.06	0.8	0.77
